"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 28 09:57:07 UTC 2022","Wed Sep 28 09:57:09 UTC 2022","2436","","Redirect by the link","","Redirect by the link","Should be redirected by the link","Should be redirected by the link",""
"passed","Wed Sep 28 09:57:54 UTC 2022","Wed Sep 28 09:57:57 UTC 2022","3339","","Become a Beta Tester form","","Become a Beta Tester form","Form should be sended","Form should be sended",""
"passed","Wed Sep 28 09:56:41 UTC 2022","Wed Sep 28 09:56:45 UTC 2022","3689","","Sign up","","Sign up","Should be signed up","Should be signed up",""
"passed","Wed Sep 28 09:56:48 UTC 2022","Wed Sep 28 09:56:53 UTC 2022","5523","","Log in","","Log in","Should be logged in","Should be logged in",""
"passed","Wed Sep 28 09:57:50 UTC 2022","Wed Sep 28 09:57:54 UTC 2022","3309","","Partnership form","","Partnership form","Partnership form should not be sended because of invalid credentials","Partnership form should not be sended because of invalid credentials",""
"passed","Wed Sep 28 09:57:35 UTC 2022","Wed Sep 28 09:57:41 UTC 2022","5647","","Join the Waitlist form","","Join the Waitlist form","Join the Waitlist form should be sended","Join the Waitlist form should be sended",""
"passed","Wed Sep 28 09:57:12 UTC 2022","Wed Sep 28 09:57:14 UTC 2022","2437","","Support center search","","Support center search","Should search with empty results","Should search with empty results",""
"passed","Wed Sep 28 09:57:26 UTC 2022","Wed Sep 28 09:57:28 UTC 2022","2166","","Network FAQ dropdown menu opening","","Network FAQ dropdown menu opening","FAQ dropdown menu #2 should be opened","FAQ dropdown menu #2 should be opened",""
"passed","Wed Sep 28 09:56:57 UTC 2022","Wed Sep 28 09:57:02 UTC 2022","4699","","Password reset","","Password reset","Password should be reseted","Password should be reseted",""
"passed","Wed Sep 28 09:56:45 UTC 2022","Wed Sep 28 09:56:48 UTC 2022","2996","","Sign up","","Sign up","Should not be signed up because of invalid credentials","Should not be signed up because of invalid credentials",""
"passed","Wed Sep 28 09:56:53 UTC 2022","Wed Sep 28 09:56:57 UTC 2022","4262","","Log in","","Log in","Should not be logged in because of invalid credentials","Should not be logged in because of invalid credentials",""
"passed","Wed Sep 28 09:57:19 UTC 2022","Wed Sep 28 09:57:24 UTC 2022","4651","","Blog search","","Blog search","Should search with empty results","Should search with empty results",""
"passed","Wed Sep 28 09:57:32 UTC 2022","Wed Sep 28 09:57:35 UTC 2022","3346","","Redirect to career position page","","Redirect to career position page","Should be redirected to first in Sales section career position page","Should be redirected to first in Sales section career position page",""
"passed","Wed Sep 28 09:57:24 UTC 2022","Wed Sep 28 09:57:26 UTC 2022","2001","","Network map changing","","Network map changing","Newtork map should be changed to Competitor Networks","Newtork map should be changed to Competitor Networks",""
"passed","Wed Sep 28 09:57:28 UTC 2022","Wed Sep 28 09:57:32 UTC 2022","3689","","Redirect to Telnyx office location in Google Maps","","Redirect to Telnyx office location in Google Maps","Should be redirected to Telnyx office in Chicago location in Google Maps","Should be redirected to Telnyx office in Chicago location in Google Maps",""
"passed","Wed Sep 28 09:57:02 UTC 2022","Wed Sep 28 09:57:07 UTC 2022","4604","","Password reset","","Password reset","Password should not be reseted because of invalid credentials","Password should not be reseted because of invalid credentials",""
"passed","Wed Sep 28 09:57:46 UTC 2022","Wed Sep 28 09:57:50 UTC 2022","3967","","Partnership form","","Partnership form","Partnership form should be sended","Partnership form should be sended",""
"passed","Wed Sep 28 09:57:57 UTC 2022","Wed Sep 28 09:58:00 UTC 2022","3305","","Become a Beta Tester form","","Become a Beta Tester form","Form should not be sended because of invalid credentials","Form should not be sended because of invalid credentials",""
"passed","Wed Sep 28 09:57:09 UTC 2022","Wed Sep 28 09:57:12 UTC 2022","2582","","Support center search","","Support center search","Should search","Should search",""
"passed","Wed Sep 28 09:57:41 UTC 2022","Wed Sep 28 09:57:46 UTC 2022","5692","","Join the Waitlist form","","Join the Waitlist form","Join the Waitlist form should not be sended because of invalid credentials","Join the Waitlist form should not be sended because of invalid credentials",""
"passed","Wed Sep 28 09:57:14 UTC 2022","Wed Sep 28 09:57:19 UTC 2022","4813","","Blog search","","Blog search","Should search","Should search",""
